track,artist,mood,listeners
Happy,Mitski,happy,365326
HAPPY,NF,happy,149672
Happy,Mazzy Star,happy,213908
HAPPY,Doja Cat,happy,106931
Happy,DAY6,happy,58332
Happy,Ashanti,happy,187009
Happy,Marina,happy,137048
Happy,Pharrell Williams,happy,471435
Happy,The Rolling Stones,happy,386350
Happy,BDRMM,happy,125922
Happy,Leona Lewis,happy,225961
Happy,The Wrens,happy,95075
Happy,WJSN,happy,48520
Happy,N.E.R.D,happy,33490
Happy,C2C,happy,104817
HAPPY,slowthai,happy,66067
Happy,Best Coast,happy,150984
Happy,Kesha,happy,36008
Happy,TAEYEON,happy,47178
HAPPY,Forrest Frank,happy,7361
HAPPY,2NE1,happy,49571
Happy,Hilary Duff,happy,58353
Happy,Brandy,happy,29779
Happy,Travis,happy,88682
HAPPY,Donda,happy,74438
Sad,Bo Burnham,sad,93351
sad,Lany,sad,31079
Sad,Maroon 5,sad,160732
Sad,Pearl Jam,sad,87848
SAD,Glizz,sad,25956
SAD,Lemon Demon,sad,15863
Sad,Bebe Rexha,sad,30450
Sad,Purient,sad,4864
Sad,Sanah,sad,5544
Everything In Its Right Place,Sad,sad,2438
sad,Georgee,sad,14340
Sad,Algernon Cadwallader,sad,20577
sad,Tommy Ragen,sad,2878
Sad,Eisley,sad,16991
Sad,Alexander 23,sad,14769
Sad,ilyTOMMY,sad,3347
Sad,Unlogix,sad,6540
Sad,Aivarask,sad,8466
SAD,Mnex,sad,8454
SAD,VUKOVI,sad,2643
Sad,Elton John vs Pnau,sad,15760
Sad,El Perro del Mar,sad,23137
Sad,Rasster,sad,7546
sad,aelira,sad,968
sad,oggak7,sad,59
Calm,Willian Mcgrow,calm,4200
Calm,Brainy,calm,14180
Affixed Aura,Calm,calm,13724
Calm,Miracle Tones,calm,27407
Calm,Omori,calm,18966
Arlington Sunset,Calm,calm,32051
Your Own Tears,Calm,calm,7636
Calm,Sleeky P,calm,1774
Calm,Vistas,calm,37736
We've Made a Contact But Worship Silent I Make a Whisper I Am a Sinner,Calm,calm,57391
Porcelain,Calm,calm,3181
Envy,Calm,calm,3688
Calm,Restful Minds,calm,9244
Calm,JME,calm,17008
calm,jhfly,calm,27062
Winter,Calm,calm,2769
Sin of Silence,Calm,calm,4950
Calm,idealism,calm,17551
Calm,Maritime,calm,34030
Calm,Grayscale Season,calm,4513
Calm,Govinda,calm,25885
sign crushes motorist,Calm,calm,13553
Calm,Amber Glow,calm,37609
Be Still / We Will Live Like Thunder,Calm,calm,26901
Calm,Avery's Ambient,calm,9883
Energetic,Wanna One,energetic,226899
Energetic,Boa,energetic,43731
Energetic,luok,energetic,184
Energetic,SQS (MOON BYUL & EXY),energetic,1195
Energetic,AShamaluevMusic,energetic,1619
Energetic,Chuckie,energetic,1463
Energetic,Ezenia,energetic,960
Energetic,아마루,energetic,465
Energetic,MINZY,energetic,579
Energetic,Wanna One • Recommended for you,energetic,35
Energetic,Lucky Permana,energetic,65
Energetic,Shin Giwon Piano,energetic,425
Energetic,Fade,energetic,633
Energetic,Cocooma,energetic,560
Energetic,Wanna One • Direkomendasikan untukmu,energetic,14
Energetic,Goodjohn Productions,energetic,70
Energetic,Yavani,energetic,201
Energetic,Magnus Winbjork,energetic,263
Energetic,Sue Music Inc,energetic,521
Energetic,BoA (Korean),energetic,408
Energetic,Energetic,energetic,12
Energetic,ZEROBASEONE,energetic,16
Energetic,Amaru,energetic,16
Energetic,Braincell,energetic,208
Energetic,"아마루, 이태우",energetic,14
